node_id,lat,lon
1333328852,16.0870656,108.22007
1333328862,16.0881644,108.2188562
1333328865,16.0865906,108.2185168
1333328866,16.0887725,108.2170944
1333328868,16.0902362,108.2170365
1333328869,16.0880933,108.2171279
1333328874,16.086614,108.2169124
1333328879,16.0895099,108.2170576
1333328881,16.0870082,108.2187307
1333328882,16.0859699,108.2197471
1333328887,16.0875097,108.21763
1333333028,16.060801,108.2109988
1333333030,16.0625339,108.2117109
1333333032,16.0601218,108.2120652
1333333047,16.0624218,108.2107619
1333333049,16.0609301,108.2119564
1333341429,16.066175,108.2156035
1333341466,16.0648782,108.2170886
1333341472,16.0608289,108.2168739
1333341473,16.0641445,108.2166081
1333341502,16.0669585,108.2159916
1333341510,16.0647791,108.2149315
1333341532,16.0664224,108.2167074
1333341533,16.0609034,108.2169741
1333341536,16.067075,108.2165463
1333341539,16.0655443,108.215776
1333341541,16.0673173,108.2177462
1333341575,16.064816,108.2159486
1333341577,16.0662988,108.2161644
1333344679,16.063519,108.2116067
1333344691,16.0629244,108.2106717
1333344696,16.0627509,108.2092919
1333344701,16.0624862,108.2089397
1333344722,16.0679676,108.2123705
1333344728,16.0663081,108.2090283
1333344731,16.0682634,108.213866
1333344746,16.0644407,108.2105005
1333344750,16.0645491,108.2112
1333344761,16.0641693,108.209142
1333351561,16.0747456,108.2055773
1333351608,16.0721273,108.2068642
1333351617,16.0727646,108.2012211
1333361872,16.0591453,108.2156853
1333361878,16.0573721,108.2123101
1333361884,16.0644467,108.2136759
1333361885,16.0564882,108.2171333
1333361888,16.0645731,108.2113355
1333361917,16.0715649,108.2125068
1333361922,16.0580437,108.2123765
1333361923,16.064093,108.2143123
1333361924,16.0571235,108.2115441
1333361925,16.0648769,108.2104376
1333361928,16.0628296,108.2137702
1333361935,16.0640633,108.2136911
1333361940,16.0637195,108.2142376
1333361942,16.058819,108.2122722
1333361946,16.0628034,108.2140891
1333361947,16.0562892,108.207257
1333361959,16.0527215,108.210082
1333361960,16.0579292,108.2114082
1333361965,16.0636784,108.2133627
1333361971,16.0564556,108.2083053
1333361988,16.0649668,108.2112175
1333361989,16.0644695,108.2143774
1333361993,16.0586987,108.2112993
1333362008,16.0636977,108.2137019
1333363229,16.0700577,108.2059333
1333368235,16.067158,108.2050302
1333368241,16.0670328,108.203461
1333368243,16.0665901,108.2017336
1333368244,16.0659652,108.2035491
1333372794,16.068176,108.1933546
1333372804,16.0684058,108.2015381
1333372812,16.0715086,108.187227
1333372816,16.0695587,108.1917824
1333372819,16.0681919,108.1985726
1333372834,16.0695254,108.1846938
1333372837,16.0678827,108.1920316
1333372839,16.070104,108.1873673
1333379813,16.0674889,108.2202485
1333379815,16.0661251,108.2236515
1333379817,16.0674515,108.2209582
1333379818,16.0569413,108.2171158
1333379821,16.0663599,108.2208736
1333379833,16.0673294,108.2248996
1333379836,16.0663547,108.2201165
1333379846,16.0619395,108.2185002
